country_of_citizenship,class_of_admission,employer_state,us_economic_sector,case_status,foreign_worker_info_education,foreign_worker_info_major,case_received_date,decision_date,processing_days,application_year,application_month,application_quarter,application_dayofweek
TURKEY,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,DOCTORATE,MECHANICAL ENGINEERING,2015-03-06,2015-09-23,201,2015,3,1,4
CHINA,UNKNOWN,TEXAS,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2015-01-09,2015-07-31,203,2015,1,1,4
SOUTH KOREA,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,DOCTORATE,MATERIALS SCIENCE & ENGINEERING,2015-03-09,2015-09-23,198,2015,3,1,0
INDIA,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,DOCTORATE,BUSINESS INFORMATION TECHNOLOGY,2014-12-17,2015-06-19,184,2014,12,4,2
SOUTH KOREA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,BACHELOR'S,ENGLISH,2015-02-26,2015-09-04,190,2015,2,1,3
PHILIPPINES,B-2,INDIANA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-07-10,2015-04-06,635,2013,7,3,2
UZBEKISTAN,H-1B,ILLINOIS,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2013-09-18,2015-04-17,576,2013,9,3,2
UKRAINE,H-1B,NEW YORK,UNKNOWN,DENIED,DOCTORATE,ECONOMICS,2011-10-04,2015-08-11,1407,2011,10,4,1
INDIA,H-1B,MASSACHUSETTS,UNKNOWN,CERTIFIED,MASTER'S,ELECTRICAL ENGINEERING,2015-01-08,2015-07-31,204,2015,1,1,3
LEBANON,UNKNOWN,CALIFORNIA,UNKNOWN,DENIED,HIGH SCHOOL,UNKNOWN,2013-04-25,2014-10-24,547,2013,4,2,3
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONIC ENGINEERING,2014-11-17,2015-05-28,192,2014,11,4,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,METALLURGICAL ENGINEERING,2010-10-29,2014-10-14,1446,2010,10,4,4
INDIA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2011-07-12,2015-01-22,1290,2011,7,3,1
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONICS ENGINEERING,2015-03-05,2015-09-29,208,2015,3,1,3
SOUTH KOREA,NOT IN USA,CONNECTICUT,UNKNOWN,CERTIFIED,BACHELOR'S,PHYSICAL EDUCATION,2015-02-13,2015-09-02,201,2015,2,1,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,ENGLISH,2010-10-29,2014-10-14,1446,2010,10,4,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS ENGINEERING,2010-10-30,2014-10-15,1446,2010,10,4,5
CHINA,EWI,NEW YORK,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2012-07-03,2015-09-03,1157,2012,7,3,1
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE AND ENGINEERING,2010-10-29,2014-10-14,1446,2010,10,4,4
PHILIPPINES,UNKNOWN,NEW YORK,UNKNOWN,DENIED,BACHELOR'S,SPECIAL EDUCATION,2011-06-02,2015-05-12,1440,2011,6,2,3
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,ENGINEERING,2014-05-29,2015-08-20,448,2014,5,2,3
SOUTH KOREA,UNKNOWN,CALIFORNIA,UNKNOWN,DENIED,BACHELOR'S,FOOD SCIENCE & NUTRITION,2011-02-01,2014-12-23,1421,2011,2,1,1
KENYA,H-1B,VIRGINIA,UNKNOWN,DENIED,MASTER'S,INFORMATION SYSTEMS MANAGEMENT,2011-04-05,2015-01-15,1381,2011,4,2,1
NEPAL,F-2,VIRGINIA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-02-17,2015-07-06,504,2014,2,1,0
INDONESIA,B-2,VIRGINIA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2011-02-16,2014-10-20,1342,2011,2,1,2
BULGARIA,H-1B,TEXAS,UNKNOWN,DENIED,HIGH SCHOOL,ELECTRIC EQUIPMENT OF INDUSTRIAL ENTERPRISES,2013-08-13,2015-08-04,721,2013,8,3,1
PHILIPPINES,UNKNOWN,NEW YORK,UNKNOWN,DENIED,MASTER'S,SPECIAL EDUCATION,2011-06-02,2015-05-12,1440,2011,6,2,3
BRAZIL,UNKNOWN,NEW YORK,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-12-03,2014-12-10,372,2013,12,4,1
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,INDUSTRIAL ENGINEERING,2010-10-29,2014-10-14,1446,2010,10,4,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2010-10-29,2014-10-14,1446,2010,10,4,4
INDIA,H-1B,CONNECTICUT,UNKNOWN,DENIED,MASTER'S,PHARMACY,2011-02-03,2014-10-16,1351,2011,2,1,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,COMPUTERS & INFORMATION TECHNOLOGY,2010-10-30,2014-10-14,1445,2010,10,4,5
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING,2010-10-29,2014-10-14,1446,2010,10,4,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,MECHANICAL ENGINEERING,2011-06-06,2015-03-27,1390,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRICAL ENGINEERING,2011-05-26,2015-04-23,1428,2011,5,2,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,INFORMATION SCIENCE (COMPUTER SCIENCE),2011-06-04,2015-04-13,1409,2011,6,2,5
INDIA,H-1B,MARYLAND,UNKNOWN,CERTIFIED,MASTER'S,ENGINEERING,2014-11-14,2015-04-21,158,2014,11,4,4
INDIA,L-1,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS ENGINEERING,2011-06-06,2015-04-13,1407,2011,6,2,0
PHILIPPINES,UNKNOWN,NEW YORK,UNKNOWN,DENIED,MASTER'S,SPECIAL EDUCATION,2011-06-02,2015-03-12,1379,2011,6,2,3
NEPAL,H-1B,FLORIDA,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2012-01-19,2015-06-25,1253,2012,1,1,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,MECHANICAL ENGINEERING,2010-10-30,2014-10-14,1445,2010,10,4,5
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,INFORMATION SYSTEMS,2011-12-09,2015-05-20,1258,2011,12,4,4
PHILIPPINES,UNKNOWN,NEW YORK,UNKNOWN,DENIED,MASTER'S,SPECIAL EDUCATION,2011-06-02,2015-04-07,1405,2011,6,2,3
PANAMA,UNKNOWN,NEW YORK,UNKNOWN,DENIED,MASTER'S,EDUCATION,2011-05-23,2014-10-16,1242,2011,5,2,0
PHILIPPINES,UNKNOWN,NEW YORK,UNKNOWN,DENIED,MASTER'S,MATHEMATICS,2011-06-01,2015-05-12,1441,2011,6,2,2
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2011-06-06,2015-04-13,1407,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS ENGINEERING,2011-06-06,2015-03-20,1383,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,MECHANICAL ENGINEERING,2011-06-04,2015-03-18,1383,2011,6,2,5
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRICAL AND ELECTRONICS ENGINEERING,2011-06-04,2015-04-03,1399,2011,6,2,5
INDIA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,COMPUTER ENGINEERING,2011-01-06,2014-10-15,1378,2011,1,1,3
INDIA,PAROLEE,NEW JERSEY,UNKNOWN,DENIED,BACHELOR'S,MECHANICAL ENGINEERING,2011-05-27,2015-01-26,1340,2011,5,2,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS ENGINEERING,2011-06-06,2015-03-24,1387,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,MECHANICAL,2011-06-06,2015-04-13,1407,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE,2011-05-19,2015-03-17,1398,2011,5,2,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,MECHANICAL ENGINEERING,2011-04-05,2015-03-17,1442,2011,4,2,1
INDIA,L-1,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING (COMPUTER),2011-08-18,2014-10-20,1159,2011,8,3,3
GERMANY,E-2,MICHIGAN,UNKNOWN,DENIED,BACHELOR'S,BUSINESS ADMINISTRATION,2011-10-13,2014-12-08,1152,2011,10,4,3
CHINA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,ELECTRICAL ENGINEERING,2011-09-22,2014-10-21,1125,2011,9,3,3
SPAIN,UNKNOWN,NEW YORK,UNKNOWN,DENIED,MASTER'S,TEACHING SPANISH AS A FOREIGN LANGUAGE,2011-05-31,2015-01-21,1331,2011,5,2,1
