country_of_citizenship,class_of_admission,employer_state,us_economic_sector,case_status,foreign_worker_info_education,foreign_worker_info_major,case_received_date,decision_date,processing_days,application_year,application_month,application_quarter,application_dayofweek
DOMINICAN REPUBLIC,UNKNOWN,NEW YORK,UNKNOWN,DENIED,MASTER'S,EDUCATIONAL SCIENCES,2011-05-31,2014-10-21,1239,2011,5,2,1
PHILIPPINES,UNKNOWN,NEW YORK,UNKNOWN,DENIED,BACHELOR'S,SPECIAL EDUCATION,2011-06-02,2015-03-12,1379,2011,6,2,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS & COMMUNICATIONS ENGINEERING,2011-06-06,2015-04-21,1415,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,MECHANICAL ENGINEERING,2011-06-06,2015-04-21,1415,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRICAL & ELECTRONICS ENGINEERING,2011-06-03,2015-03-18,1384,2011,6,2,4
MEXICO,EWI,VIRGINIA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2011-08-29,2015-07-14,1415,2011,8,3,0
INDIA,H-1B,NEW YORK,UNKNOWN,CERTIFIED,BACHELOR'S,BUSINESS ADMINISTRATION,2015-01-28,2015-07-31,184,2015,1,1,2
INDIA,H-1B,NEW MEXICO,UNKNOWN,DENIED,MASTER'S,BUSINESS ADMINISTRATION,2012-06-14,2014-10-15,853,2012,6,2,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2011-08-22,2014-10-21,1156,2011,8,3,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS AND COMMUNICATION ENGINEERING,2011-06-02,2015-04-13,1411,2011,6,2,3
PHILIPPINES,UNKNOWN,NEW YORK,UNKNOWN,DENIED,BACHELOR'S,SECONDARY EDUCATION,2011-06-01,2015-05-12,1441,2011,6,2,2
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,TECHNOLOGY AND EDUCATION,2011-06-06,2015-03-05,1368,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2011-06-02,2015-04-13,1411,2011,6,2,3
UNITED KINGDOM,H-1B,RHODE ISLAND,UNKNOWN,CERTIFIED,DOCTORATE,PHARMACY,2014-04-07,2015-07-27,476,2014,4,2,0
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,BUSINESS ADMINISTRATION,2011-06-06,2015-03-05,1368,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,COMPUTER APPLICATIONS,2011-06-06,2015-04-13,1407,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,STATISTICS,2011-06-06,2015-03-24,1387,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2011-06-06,2015-03-20,1383,2011,6,2,0
INDIA,H-1B,WASHINGTON,UNKNOWN,DENIED,HIGH SCHOOL,COMPUTER SCIENCE,2011-06-30,2015-05-28,1428,2011,6,2,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE AND ENGINEERING,2011-06-06,2015-03-24,1387,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER ENGINEERING,2011-06-04,2015-04-21,1417,2011,6,2,5
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING (ELECTRICAL),2011-08-25,2015-03-05,1288,2011,8,3,3
JAMAICA,UNKNOWN,NEW YORK,UNKNOWN,DENIED,MASTER'S,EDUCATION,2011-06-02,2015-05-12,1440,2011,6,2,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,MECHANICAL ENGINEERING,2011-06-06,2015-03-24,1387,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,CIVIL ENGINEERING,2011-05-25,2015-03-20,1395,2011,5,2,2
RUSSIA,UNKNOWN,NEW YORK,UNKNOWN,DENIED,MASTER'S,EDUCATION/SPECIAL EDUCATION MIDDLE CHILDHOOD,2011-06-02,2015-03-12,1379,2011,6,2,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,INFORMATION TECHNOLOGY,2011-06-06,2015-04-13,1407,2011,6,2,0
POLAND,UNKNOWN,NEW YORK,UNKNOWN,DENIED,ASSOCIATE'S,GENERAL CONSTRUCTION/WOODWORKER,2012-06-15,2015-09-03,1175,2012,6,2,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS,2011-06-06,2015-03-17,1380,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS & COMMUNICATION,2011-05-26,2015-05-05,1440,2011,5,2,3
CANADA,UNKNOWN,NEW YORK,UNKNOWN,DENIED,MASTER'S,CHILD/SPECIAL EDUCATION,2011-06-02,2015-01-15,1323,2011,6,2,3
TRINIDAD AND TOBAGO,UNKNOWN,NEW YORK,UNKNOWN,DENIED,MASTER'S,EDUCATION,2011-06-02,2015-05-12,1440,2011,6,2,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS & COMMUNICATION ENGINEERING,2011-05-26,2015-03-18,1392,2011,5,2,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE,2011-05-25,2015-04-13,1419,2011,5,2,2
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING,2011-05-27,2015-04-21,1425,2011,5,2,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,SOFTWARE SYSTEMS (COMPUTER SCIENCE),2011-05-27,2015-04-13,1417,2011,5,2,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS & COMMUNICATION,2011-05-26,2015-04-23,1428,2011,5,2,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS AND COMMUNICATION ENGINEERING,2011-05-25,2015-03-25,1400,2011,5,2,2
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,MECHANICAL ENGINEERING,2011-05-27,2015-05-05,1439,2011,5,2,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,CHEMICAL ENGINEERING,2011-06-06,2015-04-21,1415,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,ENGINEERING TECHNOLOGY,2011-06-03,2015-03-18,1384,2011,6,2,4
MEXICO,EWI,NEW YORK,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-08-01,2015-03-18,594,2013,8,3,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE ENGINEERING,2011-05-27,2015-03-27,1400,2011,5,2,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,INDUSTRIAL ENGINEERING,2011-05-27,2015-04-21,1425,2011,5,2,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE AND ENGINEERING,2011-06-03,2015-04-13,1410,2011,6,2,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,MECHANICAL ENGINEERING,2011-06-03,2015-04-13,1410,2011,6,2,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2011-06-03,2015-04-13,1410,2011,6,2,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,CHEMICAL ENGINEERING,2011-06-04,2015-04-21,1417,2011,6,2,5
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,SCIENCE (COMPUTER),2011-08-25,2014-10-20,1152,2011,8,3,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,INFORMATION SCIENCE,2011-06-06,2015-04-13,1407,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER ENGINEERING,2011-06-06,2015-04-03,1397,2011,6,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,COMPUTER APPLICATIONS,2011-06-04,2015-04-13,1409,2011,6,2,5
SOUTH KOREA,F-1,ILLINOIS,UNKNOWN,CERTIFIED,HIGH SCHOOL,UNKNOWN,2013-10-26,2015-05-04,555,2013,10,4,5
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,INFORMATION SCIENCE & ENGINEERING,2011-05-17,2015-03-17,1400,2011,5,2,1
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING,2011-05-18,2015-04-13,1426,2011,5,2,2
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,MECHNICAL ENGINEERING,2011-05-17,2015-04-13,1427,2011,5,2,1
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,COMPUTER APPLICATIONS,2011-05-17,2015-04-13,1427,2011,5,2,1
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE APPLICATIONS,2011-05-18,2015-04-13,1426,2011,5,2,2
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRICAL & ELECTRONICS ENGINEERING,2011-05-16,2015-04-27,1442,2011,5,2,0
FRANCE,H-1B,NEW YORK,UNKNOWN,CERTIFIED,MASTER'S,FINANCIAL ENGINEERING,2012-08-24,2015-06-16,1026,2012,8,3,4
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE,2011-05-16,2015-04-23,1438,2011,5,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,INFORMATION TECHNOLOGY,2011-05-16,2015-04-24,1439,2011,5,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE,2011-05-16,2015-03-24,1408,2011,5,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,THERMAL ENGINEERING,2011-05-19,2015-04-24,1436,2011,5,2,3
MALAYSIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONIC ENGINEERING,2012-07-03,2014-10-15,834,2012,7,3,1
INDIA,H-1B,CALIFORNIA,UNKNOWN,DENIED,BACHELOR'S,ELECTRONIC ENGINEERING,2011-07-15,2014-10-15,1188,2011,7,3,4
UNITED KINGDOM,H-1B,MASSACHUSETTS,UNKNOWN,DENIED,BACHELOR'S,"EDUCATION, ENGINEERING",2011-07-08,2015-05-15,1407,2011,7,3,4
INDIA,H-1B,PENNSYLVANIA,UNKNOWN,DENIED,MASTER'S,COMPUTER APPLICATIONS,2011-07-07,2014-10-14,1195,2011,7,3,3
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,INDUSTRIAL ENGINEERING,2011-06-29,2015-05-20,1421,2011,6,2,2
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,GRAPHIC DESIGN,2012-06-15,2014-10-28,865,2012,6,2,4
INDIA,L-1,TEXAS,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2011-08-30,2015-01-15,1234,2011,8,3,1
INDIA,L-1,TEXAS,UNKNOWN,DENIED,BACHELOR'S,SCIENCE (COMPUTER INFORMATION SYSTEMS),2011-09-07,2015-03-05,1275,2011,9,3,2
INDIA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,COMPUTER ENGINEERING,2011-08-29,2015-01-22,1242,2011,8,3,0
NEPAL,F-1,FLORIDA,UNKNOWN,DENIED,MASTER'S,MBA IN INFORMATION TECHNOLOGY (IT),2012-10-04,2015-08-13,1043,2012,10,4,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING (COMPUTER),2011-08-18,2015-03-05,1295,2011,8,3,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,ENGINEERING,2011-09-12,2014-10-20,1134,2011,9,3,0
VENEZUELA,B-2,NEW YORK,UNKNOWN,DENIED,HIGH SCHOOL,GENERAL HIGH SCHOOL STUDY,2012-07-16,2014-10-16,822,2012,7,3,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING ( ELECTRICAL),2011-08-22,2015-03-05,1291,2011,8,3,0
PAKISTAN,H-1B,CALIFORNIA,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE,2011-09-09,2015-01-15,1224,2011,9,3,4
INDIA,H-1B,NORTH CAROLINA,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2011-12-28,2014-10-23,1030,2011,12,4,2
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,COMMUNICATIONS,2012-05-22,2015-05-20,1093,2012,5,2,1
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,INTERNATIONAL RELATIONS,2012-02-01,2015-06-22,1237,2012,2,1,2
INDIA,H-1B,GEORGIA,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE AND ENGINEERING,2011-04-19,2014-12-04,1325,2011,4,2,1
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRICAL AND ELECTRONICS ENGINEERING,2011-04-29,2015-04-14,1446,2011,4,2,4
CANADA,H-1B,MINNESOTA,UNKNOWN,DENIED,OTHER,MEDICINE,2011-10-10,2014-10-16,1102,2011,10,4,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING,2011-10-14,2015-04-17,1281,2011,10,4,4
INDIA,H-1B,MASSACHUSETTS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE,2011-12-30,2014-12-17,1083,2011,12,4,4
BULGARIA,B-2,ILLINOIS,UNKNOWN,DENIED,HIGH SCHOOL,MECHANICS,2011-06-29,2015-05-28,1429,2011,6,2,2
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,COMMUNICATION,2011-06-22,2015-05-15,1423,2011,6,2,2
HONDURAS,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,OTHER,MEDICINE AND SURGERY,2014-12-16,2015-06-19,185,2014,12,4,1
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,MECHANICAL ENGINEERING,2011-05-02,2015-04-13,1442,2011,5,2,0
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,MCA (MASTER OF COMPUTER APPLICATIONS),2011-04-29,2015-04-14,1446,2011,4,2,4
SOUTH KOREA,F-2,TEXAS,UNKNOWN,DENIED,BACHELOR'S,BUSINESS ADMINISTRATION,2011-08-29,2015-06-12,1383,2011,8,3,0
VENEZUELA,H-1B1,NEW YORK,UNKNOWN,DENIED,BACHELOR'S,MEDIA STUDIES,2011-09-06,2014-10-21,1141,2011,9,3,1
UKRAINE,L-1,WASHINGTON,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2011-08-31,2014-10-15,1141,2011,8,3,2
PHILIPPINES,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,MATHEMATICS EDUCATION,2011-08-24,2015-03-06,1290,2011,8,3,2
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS ENGINEERING,2011-08-30,2015-08-11,1442,2011,8,3,1
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,MARKETING,2012-01-18,2015-05-20,1218,2012,1,1,2
CANADA,H-1B,NORTH CAROLINA,UNKNOWN,DENIED,OTHER,5 YRS. IT EXPERIENCE IN LIEU OF A BACHELOR'S DEGREE,2012-01-26,2015-01-26,1096,2012,1,1,3
INDIA,H-1B,NORTH CAROLINA,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING,2011-11-18,2014-10-17,1064,2011,11,4,4
INDIA,H-1B,OREGON,UNKNOWN,CERTIFIED,BACHELOR'S,INFORMATION TECHNOLOGY,2014-11-24,2015-05-11,168,2014,11,4,0
JAPAN,H-1B,NEW YORK,UNKNOWN,DENIED,BACHELOR'S,CONSERVATION AND RESOURCES STUDIES,2011-12-01,2015-01-09,1135,2011,12,4,3
PAKISTAN,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRICAL ENGINEERING,2012-07-17,2014-10-15,820,2012,7,3,1
PHILIPPINES,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONIC ENGINEERING,2012-07-19,2014-10-15,818,2012,7,3,3
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONIC SYSTEMS ENGINEERING,2012-09-24,2015-08-05,1045,2012,9,3,0
INDIA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,COMPUTER AIDED ENGINEERING,2011-12-21,2015-08-04,1322,2011,12,4,2
CHINA,H-1B,WISCONSIN,UNKNOWN,CERTIFIED,DOCTORATE,MATHEMATICS,2013-10-18,2015-05-18,577,2013,10,4,4
INDIA,H-1B,NORTH CAROLINA,UNKNOWN,DENIED,MASTER'S,MECHANICAL ENGINEERING,2012-01-19,2015-06-23,1251,2012,1,1,3
INDIA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,ELECTRICAL ENGINEERING,2012-02-07,2015-05-15,1193,2012,2,1,1
INDIA,H-1B,NORTH CAROLINA,UNKNOWN,DENIED,MASTER'S,ENGINEERING,2011-12-02,2015-01-26,1151,2011,12,4,4
MALAYSIA,H-1B,NEW YORK,UNKNOWN,DENIED,BACHELOR'S,"ACTUARIAL SCIENCE, FINANCE",2011-11-15,2015-03-09,1210,2011,11,4,1
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2011-09-29,2014-10-20,1117,2011,9,3,3
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,DOCTOR OF MEDICINE,2012-06-15,2014-10-21,858,2012,6,2,4
SOUTH KOREA,UNKNOWN,ALABAMA,UNKNOWN,DENIED,BACHELOR'S,THEOLOGY,2012-09-24,2014-10-14,750,2012,9,3,0
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,INDUSTRIAL ENGINEERING AND ADMINISTRATION,2012-10-19,2015-03-09,871,2012,10,4,4
INDIA,H-1B,NEW JERSEY,UNKNOWN,DENIED,MASTER'S,INFORMATION SYSTEMS MANAGEMENT,2012-08-03,2014-10-15,803,2012,8,3,4
INDIA,NOT IN USA,ILLINOIS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE (COMPUTER APPLICATIONS),2015-01-28,2015-07-31,184,2015,1,1,2
SOUTH KOREA,UNKNOWN,MARYLAND,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-02-11,2015-05-21,829,2013,2,1,0
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2012-06-21,2015-08-19,1154,2012,6,2,3
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,SCIENCE (INFORMATION TECHNOLOGY),2012-06-23,2015-08-20,1153,2012,6,2,5
INDIA,L-1,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING (COMPUTER),2012-06-26,2015-09-04,1165,2012,6,2,1
INDIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,COMPUTER APPLICATIONS,2012-06-22,2015-06-09,1082,2012,6,2,4
VENEZUELA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ACCOUNTING,2012-06-28,2014-11-14,869,2012,6,2,3
GUATEMALA,EWI,NEW YORK,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-05-02,2014-12-22,599,2013,5,2,3
INDIA,L-1,TEXAS,UNKNOWN,DENIED,BACHELOR'S,TECHNOLOGY (INFORMATION),2011-09-12,2015-01-15,1221,2011,9,3,0
CHINA,UNKNOWN,ALABAMA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2012-10-18,2014-10-16,728,2012,10,4,3
INDIA,H-1B,GEORGIA,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE AND ENGINEERING,2011-12-21,2015-08-04,1322,2011,12,4,2
INDIA,PAROLEE,PENNSYLVANIA,UNKNOWN,DENIED,BACHELOR'S,CHEMICAL ENGINEERING,2012-04-10,2015-08-04,1211,2012,4,2,1
CANADA,H-1B,MASSACHUSETTS,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2011-12-07,2015-05-28,1268,2011,12,4,2
SOUTH KOREA,H-1B,PENNSYLVANIA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRONICS ENGINEERING,2014-12-02,2015-06-09,189,2014,12,4,1
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-11-24,2015-07-14,232,2014,11,4,0
INDIA,EWI,MISSISSIPPI,UNKNOWN,DENIED,HIGH SCHOOL,GENERAL SUBJECTS,2011-09-28,2015-07-31,1402,2011,9,3,2
INDIA,H-1B,NORTH CAROLINA,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE,2011-11-14,2015-06-09,1303,2011,11,4,0
INDIA,H-1B,CALIFORNIA,UNKNOWN,DENIED,BACHELOR'S,COMPUTER ENGINEERING,2011-09-29,2014-10-16,1113,2011,9,3,3
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,BUSINESS ADMINISTRATION,2011-09-27,2015-04-14,1295,2011,9,3,1
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,INTERNATIONAL AFFAIRS,2011-09-27,2015-04-14,1295,2011,9,3,1
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ELECTRONICS ENGINEERING,2011-09-27,2015-04-14,1295,2011,9,3,1
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,SCIENCE,2012-06-03,2015-08-04,1157,2012,6,2,6
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,CIVIL ENGINEERING,2012-05-24,2014-11-18,908,2012,5,2,3
SOUTH KOREA,H-1B,GEORGIA,UNKNOWN,DENIED,BACHELOR'S,FRENCH LANGUAGE AND LITERATURE,2012-07-11,2014-12-08,880,2012,7,3,2
INDIA,H-1B,NEW JERSEY,UNKNOWN,DENIED,MASTER'S,SCIENCE,2012-05-30,2015-04-07,1042,2012,5,2,2
INDIA,H-1B,GEORGIA,UNKNOWN,DENIED,MASTER'S,INFORMATION TECHNOLOGY,2012-07-10,2015-05-15,1039,2012,7,3,1
UNITED STATES OF AMERICA,H-1B,MASSACHUSETTS,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2012-05-04,2014-12-17,957,2012,5,2,4
INDIA,H-1B,SOUTH CAROLINA,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING,2012-05-11,2015-07-14,1159,2012,5,2,4
INDIA,PAROLEE,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING,2012-06-19,2015-09-03,1171,2012,6,2,1
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,LAW,2012-05-24,2015-07-20,1152,2012,5,2,3
VENEZUELA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,PRE-SCHOOL EDUCATION,2012-06-20,2015-02-10,965,2012,6,2,2
INDIA,H-1B,NORTH CAROLINA,UNKNOWN,DENIED,BACHELOR'S,ENGINEERING (U.S. EQUIVALENCY),2012-09-10,2014-10-15,765,2012,9,3,0
ARGENTINA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,LAW,2012-05-29,2014-11-18,903,2012,5,2,1
VENEZUELA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,BUSINESS ADMINISTRATION,2012-05-31,2014-10-28,880,2012,5,2,3
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ACCOUNTING,2012-05-18,2014-10-28,893,2012,5,2,4
COLOMBIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ECONOMICS,2012-05-18,2014-10-28,893,2012,5,2,4
CHINA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-12-09,2015-06-11,549,2013,12,4,0
CANADA,H-1B,MASSACHUSETTS,UNKNOWN,DENIED,MASTER'S,BIOTECHNOLOGY ENGINEERING,2012-08-07,2015-05-19,1015,2012,8,3,1
PHILIPPINES,B-2,NEW YORK,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2014-01-21,2015-06-17,512,2014,1,1,1
INDIA,H-1B,GEORGIA,UNKNOWN,DENIED,BACHELOR'S,ELECTRONIC SYSTEMS DESIGN ENGINEERING,2012-05-31,2015-05-15,1079,2012,5,2,3
SOUTH KOREA,UNKNOWN,SOUTH CAROLINA,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2014-04-09,2015-08-10,488,2014,4,2,2
INDIA,H-1B,NEW YORK,UNKNOWN,DENIED,MASTER'S,PHYSICIAN ASSISTANT SCIENCE,2012-06-01,2015-01-15,958,2012,6,2,4
INDIA,PAROLEE,TEXAS,UNKNOWN,DENIED,MASTER'S,BUSINESS ADMINISTRATION,2012-06-14,2015-06-23,1104,2012,6,2,3
VENEZUELA,L-1,TEXAS,UNKNOWN,DENIED,HIGH SCHOOL,GENERAL,2012-08-07,2014-11-26,841,2012,8,3,1
NIGERIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,ECONOMICS,2012-06-15,2014-10-28,865,2012,6,2,4
CHINA,H-1B,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,ELECTRICAL ENGINEERING,2012-12-21,2014-10-17,665,2012,12,4,4
COLOMBIA,H-1B,TEXAS,UNKNOWN,DENIED,MASTER'S,TEACHING ENGLISH TO SPEAKERS OF OTHER LANGUAGES,2012-06-03,2014-10-17,866,2012,6,2,6
COLOMBIA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,BUSINESS ADMINISTRATION-MARKETING,2012-06-07,2014-11-14,890,2012,6,2,3
INDIA,L-1,CALIFORNIA,UNKNOWN,DENIED,MASTER'S,COMPUTER APPLICATIONS (ALSO HAS A BACHELOR OF SCIENCE DEGREE),2012-06-18,2015-07-31,1138,2012,6,2,0
INDIA,H-1B,ILLINOIS,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,2012-05-22,2014-10-24,885,2012,5,2,1
VENEZUELA,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,SECONDARY EDUCATION WITH A TEACHING MAJOR IN FOREIGN LANGUAGE INSTRUCTION,2012-06-02,2015-07-31,1154,2012,6,2,5
INDIA,H-1B,NEW YORK,UNKNOWN,DENIED,MASTER'S,COMPUTER SCIENCE,2012-06-07,2015-05-28,1085,2012,6,2,3
INDIA,H-1B,MICHIGAN,UNKNOWN,DENIED,BACHELOR'S,COMPUTER SCIENCE,2012-06-29,2014-10-16,839,2012,6,2,4
MEXICO,H-1B,TEXAS,UNKNOWN,DENIED,BACHELOR'S,BUSINESS ADMINISTRATION,2012-05-31,2015-04-07,1041,2012,5,2,3
